Property,Type,Cardinality,Guideline,Vocab,Count,Descr,Data
sameAs,URL,One,Optional,,13,"URL of a reference web page that unambiguously indicates the item's identity (e.g. the URL of the item's Wikipedia page, Freebase page or official website).","['https://www.freebase.com/m/012n8d8d', 'https://plus.google.com/+EphesusBreeze', 'https://twitter.com/ephesusbreeze', 'https://www.facebook.com/ephesusbreeze', 'https://instagram.com/ephesusbreeze/', 'https://www.pinterest.com/ephesusbreeze/', 'https://www.flickr.com/photos/ephesusbreeze/', 'https://500px.com/ephesusbreeze', 'https://www.linkedin.com/company/ephesus-breeze-tours', 'https://ephesusbreeze.tumblr.com', 'https://vimeo.com/ephesusbreeze', 'https://www.youtube.com/user/EphesusBreeze', 'https://vine.co/ephesusbreeze']"
description,Text,One,Recommended,,6,A short description of the item.,"['The Full day Ephesus tour from Kusadasi port is a fully private tour. If you wish, you can adjust the timings and order of which individual sites you wish to visit together with your private tour guide. Please keep in mind that, we recommend an early start as early as possible.', '', 'Library of Ephesus was built in honor of the Roman Senator ""Tiberius Julius Celsus Polemaeanus"" by Celsus\' son, Gaius Julius Aquila.', 'Near the Library of Celsus are luxurious elite houses, known as the ""Slope Houses"" for their location on the slopes.', 'The Temple of Artemis is one of the Seven Wonders of the ancient world. The temple is 425 feet high and is made up of expensive marbles.', 'It is believed that St. John spent his last years near ""Ephesus"" and is buried in the Selcuk town in the southern hills.']"
name,Text,One,Minimum,,17,The name of the item.,"['Ephesus Breeze', 'Kusadasi Ephesus Tour - Full day', 'Kusadasi Port', 'Ancient Ephesus', 'Temple of Artemission', 'House of Virgin Mary', 'Ephesus Museum', 'Kusadasi Port', 'Ephesus Tour', 'JuliaandLarry', 'Ephesus Tours A+', 'Travel_Junkie9..', 'Celsus Library', 'Terrace Houses', 'Artemis Temple', 'Basilica of St John', 'Ephesus Breeze']"
url,URL,Many,Recommended,,15,URL of the item.,"['/', '/ephesus', '/tours', '/tours/kusadasi-ephesus', '/ephesus/around/kusadasi-port', '/ephesus', '/ephesus/around/artemis-temple', '/ephesus/around/house-of-virgin-mary', '/ephesus/around/museum', '/ephesus/around/kusadasi-port', '/ephesus/celsus-library', '/ephesus/terrace-houses', '/ephesus/around/artemis-temple', '/ephesus/around/st-john-basilica', 'https://goo.gl/maps/s6gfJ']"
