Type,Value,Min,Rec,Opt
event_bioschemas,0,0,0,0
event_schema,3,0,0,2
event_thing,53,2,2,1
organization_bioschemas,0,0,0,0
organization_schema,1,0,1,0
organization_thing,53,3,2,0
person_bioschemas,0,0,0,0
person_schema,1,0,1,0
person_thing,29,2,1,0
training_bioschemas,0,0,0,0
training_schema,6,1,1,2
training_thing,51,1,2,1
