Type,MinScore,RecScore,OptScore
event_bioschemas,0.00,0.00,0.00
event_schema,0.00,0.00,0.00
event_thing,100.00,50.00,0.00
organization_bioschemas,0.00,0.00,0.00
organization_schema,0.00,0.00,0.00
organization_thing,66.67,50.00,0.00
person_bioschemas,0.00,0.00,0.00
person_schema,0.00,0.00,0.00
person_thing,100.00,50.00,0.00
training_bioschemas,0.00,0.00,0.00
training_schema,0.00,0.00,10.00
training_thing,100.00,100.00,0.00
