Property,Type,Descr,Cardin,Guideline,Vocab
description,Text,A short description of the item.,Many,Minimum,
name,Text,The name of the item.,One,Minimum,
image,URL or ImageObject,An image of the item. This can be a URL or a fully described ImageObject.,One,Recommended,
mainEntityOfPage,URL or CreativeWork,Indicates a page (or other CreativeWork) for which this thing is the main entity being described.,Many,Recommended,
