Property,Type,Cardinality,Guideline,Vocab,Count,Descr,Data
image,URL or ImageObject,One,Recommended,,1,An image of the item. This can be a URL or a fully described ImageObject.,['//d.lib.ncsu.edu/adore-djatoka/resolver?rft_id=mc00383-001-ff0004-001-001_0004&svc.level=5&svc_id=info%3Alanl-repo%2Fsvc%2FgetRegion&svc_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajpeg2000&url_ver=Z39.88-2004']
description,Text,Many,Minimum,,6,A short description of the item.,"['Tracings; 570mm x 725mm', '', 'E. W. Grove, first owner; Walter Taylor and Associates, second owner.', ""The structure was initially intended as a skyscraper, and the use of ivory-glazed terra-cotta and decorative griffins lend the structure a unique appearance. The structure's molded panels include an image of the architect, Charles N. Parker."", 'The arcade is listed on the National Register of Historic Places. It was occupied by the federal government in 1942.', '']"
name,Text,One,Minimum,,15,The name of the item.,"['Perspective drawing            Grove Arcade (Asheville, N.C.)', 'Special Collections Research Center at NCSU Libraries', 'Grove Arcade (Asheville, Buncombe County, North Carolina)', 'Parker, Charles N., 1885-1961', '', '', 'Travertine details                Grove Arcade (Asheville, N.C.)', 'Elevations, sections, and room finish schedules                Ocean Motor Sales (Wilmington, N.C.)', 'Tower fa\xc3\xa7ade elevations and details                Needham B. Broughton High School (Raleigh, N.C.)', 'Diagram of interior signs                Grove Arcade (Asheville, N.C.)', 'Location map and rendering, Pleasant Grove Camp Meeting Ground, Union County, North Carolina                Pleasant Grove Camp Meeting Ground (Mineral Springs, N.C.)', 'Longitudinal section                D. H. Blair Theatre (Forsyth County, N.C.)', 'Porch details, Ambassador Walter Hines Page Birthplace, Cary, North Carolina                Walter Hines Page Birthplace (Cary, N.C.)', 'Roof Details                Dorton Arena (Raleigh, N.C.)', 'D. H. Hill Library']"
