Property,Type,Cardinality,Guideline,Vocab,Count,Descr,Data
description,Text,One,Minimum,,6,A short description of the item.,"['Tracings; 570mm x 725mm', '', 'E. W. Grove, first owner; Walter Taylor and Associates, second owner.', ""The structure was initially intended as a skyscraper, and the use of ivory-glazed terra-cotta and decorative griffins lend the structure a unique appearance. The structure's molded panels include an image of the architect, Charles N. Parker."", 'The arcade is listed on the National Register of Historic Places. It was occupied by the federal government in 1942.', '']"
name,Text,One,Minimum,,15,The name of the item.,"['Perspective drawing            Grove Arcade (Asheville, N.C.)', 'Special Collections Research Center at NCSU Libraries', 'Grove Arcade (Asheville, Buncombe County, North Carolina)', 'Parker, Charles N., 1885-1961', '', '', 'Travertine details                Grove Arcade (Asheville, N.C.)', 'Elevations, sections, and room finish schedules                Ocean Motor Sales (Wilmington, N.C.)', 'Tower fa\xc3\xa7ade elevations and details                Needham B. Broughton High School (Raleigh, N.C.)', 'Diagram of interior signs                Grove Arcade (Asheville, N.C.)', 'Location map and rendering, Pleasant Grove Camp Meeting Ground, Union County, North Carolina                Pleasant Grove Camp Meeting Ground (Mineral Springs, N.C.)', 'Longitudinal section                D. H. Blair Theatre (Forsyth County, N.C.)', 'Porch details, Ambassador Walter Hines Page Birthplace, Cary, North Carolina                Walter Hines Page Birthplace (Cary, N.C.)', 'Roof Details                Dorton Arena (Raleigh, N.C.)', 'D. H. Hill Library']"
url,URL,Many,Recommended,,14,"URL of the item. This property can be used on a page listing many events, to indicate each individual event's page.","['http://www.lib.ncsu.edu/specialcollections/', '/collections/catalog?f%5Bwork_facet%5D%5B%5D=Grove+Arcade+%28Asheville%2C+N.C.%29', '/collections/catalog?f%5Bnames_facet%5D%5B%5D=Parker%2C+Charles+N.%2C+1885-1961', '/collections/names/5682-parker-charles-n-1885-1961', '/collections/catalog?f%5Bispartof_facet%5D%5B%5D=Beaux+Arts+to+Modernism', '/collections/catalog/mc00383-001-ff0006-001-001_0044', '/collections/catalog/mc00096-001-ff0261-000-001_0005', '/collections/catalog/mc00227-003-ff0005-000-001_0003', '/collections/catalog/mc00383-001-ff0006-001-001_0067', '/collections/catalog/bh016101701', '/collections/catalog/mc00240-001-ff0434-001-001_0005', '/collections/catalog/bh035913502', '/collections/catalog/mc00227-003-ff0065-000-001_0002', '//www.lib.ncsu.edu/']"
