label,score,weight,width,color,mean
name,16,0.5,0.5,#6CC4A4,16
description,0,0.5,0.5,#E1514B,16
keyword,0,0.3,0.5,#E1514B,16
expertise,0,0.3,0.5,#E1514B,16
orcid,0,0.3,0.5,#E1514B,16
memberOf,0,0.3,0.5,#E1514B,16
image,0,0.3,0.5,#E1514B,16
mainEntityOfPage,0,0.3,0.5,#E1514B,16
homeLocation,0,0.3,0.5,#E1514B,16
email,0,0.3,0.5,#E1514B,16
