Type,Value,Min,Rec,Opt
event_bioschemas,0,0,0,0
event_schema,0,0,0,0
event_thing,3,1,0,1
organization_bioschemas,0,0,0,0
organization_schema,0,0,0,0
organization_thing,3,2,0,0
person_bioschemas,0,0,0,0
person_schema,1,0,1,0
person_thing,3,1,1,0
training_bioschemas,0,0,0,0
training_schema,0,0,0,0
training_thing,3,1,0,1
