label,score,weight,width,color,mean
name,1,0.5,0.5,#6CC4A4,4
audience,0,0.5,0.5,#E1514B,4
dateModified,0,0.5,0.5,#E1514B,4
genre,0,0.5,0.5,#E1514B,4
about,0,0.5,0.5,#E1514B,4
description,4,0.3,0.5,#6CC4A4,4
url,1,0.3,0.5,#FEC574,4
level,0,0.3,0.5,#E1514B,4
contributor,0,0.3,0.5,#E1514B,4
keywords,0,0.3,0.5,#E1514B,4
author,0,0.3,0.5,#E1514B,4
license,0,0.3,0.5,#E1514B,4
