Type,MinScore,RecScore,OptScore
event_bioschemas,0.00,0.00,0.00
event_schema,0.00,0.00,0.00
event_thing,0.00,50.00,0.00
organization_bioschemas,0.00,0.00,0.00
organization_schema,0.00,20.00,0.00
organization_thing,0.00,50.00,0.00
person_bioschemas,0.00,0.00,0.00
person_schema,0.00,33.33,0.00
person_thing,0.00,50.00,0.00
training_bioschemas,0.00,0.00,0.00
training_schema,0.00,0.00,0.00
training_thing,0.00,50.00,0.00
