Type,Value,Min,Rec,Opt
event_bioschemas,0,0,0,0
event_schema,0,0,0,0
event_thing,24,1,1,0
organization_bioschemas,0,0,0,0
organization_schema,0,0,0,0
organization_thing,24,1,1,0
person_bioschemas,0,0,0,0
person_schema,0,0,0,0
person_thing,16,1,0,0
training_bioschemas,0,0,0,0
training_schema,8,0,1,0
training_thing,24,1,1,0
