Type,Value,Min,Rec,Opt
event_bioschemas,0,0,0,0
event_schema,4,2,0,0
event_thing,16,2,1,0
organization_bioschemas,0,0,0,0
organization_schema,2,0,1,0
organization_thing,16,2,1,0
person_bioschemas,0,0,0,0
person_schema,0,0,0,0
person_thing,10,2,1,0
training_bioschemas,0,0,0,0
training_schema,1,0,0,1
training_thing,16,1,2,0
