Property,Type,Cardinality,Guideline,Vocab,Count,Descr,Data
description,Text,One,Minimum,,2,A short description of the item.,"[""Les Seychelles se trouvent dans l'oc\xc3\xa9an Indien et sont rattach\xc3\xa9s au continent africain. C'est un archipel de 115 \xc3\xaeles dont la principale est Mah\xc3\xa9.  Pour toutes les personnes inqui\xc3\xa8tes quant \xc3\xa0 la langue parl\xc3\xa9e, la langue courante est le cr\xc3\xa9ole, \xc3\xa0 l'inspiration fran\xc3\xa7aise, mais l'anglais et le fran\xc3\xa7ais sont \xc3\xa9galement parl\xc3\xa9s. Tous peuvent donc voyager aux Seychelles sans avoir le probl\xc3\xa8me de la barri\xc3\xa8re des langues."", 'Vid\xc3\xa9o de pr\xc3\xa9sentation des Seychelles']"
name,Text,One,Minimum,,6,The name of the item.,"['', '', '', '', 'F\xc3\xaate nationale', ""F\xc3\xaate de l'ind\xc3\xa9pendance""]"
url,URL,Many,Recommended,,8,URL of the item.,"[None, 'http://fr.voyagepedia.org/voyage-seychelles', None, None, 'http://fr.voyagepedia.org/', 'http://fr.voyagepedia.org/destinations', 'http://fr.voyagepedia.org/destinations#afrique', 'http://fr.voyagepedia.org/voyage-seychelles']"
